"regIn"	"r2ParIn"	"peaksIn"
"DLST"	1	0,756728515069156	2,03862536753642
"KANSL3"	1	0,752600945231816	1,90381382051392
"ARIH2"	1	0,744601317142917	2,07758633294777
"CNOT2"	1	0,752423586884905	2,12162771377021
"OTULIN"	1	0,720907373619484	1,81750111109707
"WHAMM"	1	0,73861185141515	1,82997382854277
"DCAF5"	1	0,742595952606014	2,03974192096099
"HNRNPA3"	1	0,740633381095031	1,89135367868213
"PPP4R3A"	1	0,730438744944887	2,32839356439744
"CRY2"	1	0,749549323183696	1,77976381717317
"NFX1"	1	0,742928844346427	2,02206149451478
"OSBP"	1	0,748805302083335	2,33886541380609
"NONO"	1	0,732684704450696	2,03333354774169
"UNK"	1	0,740793465327956	1,86452741438927
"NPAT"	1	0,712061327314812	2,00107302625043
"ATP2A2"	1	0,5218114547631	2,1782128257708
"RNF115"	1	0,746573198074814	1,97081649393978
"AGK"	1	0,74255887691544	1,93639188548104
"GATAD1"	1	0,742160113921766	2,14817550602711
"ESYT2"	1	0,729746814159308	1,88900582463041
"CDKAL1"	1	0,742799069274392	1,99965134135614
"ILF3"	1	0,736189975366616	1,88138808818773
"TPP2"	1	0,738935392186339	2,03690909744816
"FNBP4"	1	0,742372126472915	1,92978290986496
"QRICH1"	1	0,741991206989229	2,03415102782182
"SUGP2"	1	0,727800840071792	2,01691027102224
"WBP11"	1	0,742417374518816	1,95356653958366
"NFATC2IP"	1	0,72943116066867	2,00096361614187
"MPHOSPH9"	1	0,701419786336288	1,92039676200159
"CHD6"	1	0,725044381561083	1,9528942324252
"SMARCC1"	1	0,737110765975055	2,20953401455692
"HDAC6"	1	0,724708621589056	1,8045383033502
"ABI2"	1	0,719695696191182	1,94115889383727
"DDX19A"	1	0,748680937637967	2,02973005479533
"CCDC88C"	1	0,739188187939425	1,78591682201814
"CAMK2D"	1	0,71682496511525	1,9698427480396
"PABPC4"	1	0,736747876645788	1,82171606780899
"OSBPL3"	1	0,719666031494861	1,87800406515124
"ATR"	1	0,726711847797743	2,19850721352047
"ELK4"	1	0,702426273785801	2,0382466507222
"GCN1"	1	0,723908482091568	1,78432459521286
"KHDRBS1"	1	0,72884908254007	2,18940965380839
"USP24"	1	0,722148222672217	2,03197860295936
"RABEP1"	1	0,633096921349788	2,2937430931643
"WDR59"	1	0,730957062041496	1,87004968109777
"MYO19"	1	0,72933456374483	1,87488453575018
"UHRF2"	1	0,729829715381763	1,90109861044354
"NAA40"	1	0,723511459062518	1,97760249877737
"NR1D2"	1	0,68742972373499	1,85078265992582
"RFC1"	1	0,717764934948881	2,11692487105414
"CD96"	2	0,75644964348933	1,61468667435082
"CBLB"	2	0,77422476063924	1,72429035908806
"PRKCQ"	2	0,758291574662924	1,64083645514573
"AC093838.4"	2	0,769520332436191	1,70798761944882
"DDX24"	2	0,768593861449087	1,55146740131573
"TNIK"	2	0,743958218047861	1,67285327512193
"RFTN1"	2	0,764893489863742	1,65612014533464
"LPIN1"	2	0,733522735564074	1,83730437858045
"RTTN"	2	0,757169563901697	1,8885606179327
"NPC1"	2	0,754323032057579	1,83095752639701
"JMY"	2	0,740958487006253	1,7209966855427
"USP28"	2	0,742898589609424	1,81594867956101
"UBAP2"	2	0,769448330429378	1,73953751134961
"CARD11"	2	0,745807477002293	1,67448497160737
"RORA"	2	0,698973736084782	1,75817992818025
"SIDT1"	2	0,757333921551753	1,7364860052685
"ARL4C"	2	0,721893801913007	1,5552438612914
"NUP188"	2	0,729757661938806	1,76809937864398
"ZBTB21"	2	0,738282342217315	1,79637879754137
"CCSER2"	2	0,736374902895638	1,69807700025456
"DIS3L2"	2	0,751655738413948	1,70852097927992
"DDX27"	2	0,737918863366438	1,69647412277938
"PI4K2A"	2	0,749478614022711	1,81310347977109
"CDAN1"	2	0,732995400627697	1,7465650307193
"RBM19"	2	0,735856762414831	1,77472435187112
"SPATA5"	2	0,691067392151109	1,87334592762243
"HAUS5"	2	0,729458698793483	1,76472587384492
"LIG3"	2	0,736787189829825	1,78880522855385
"ODF2"	2	0,738526841479152	1,79879611494
"HMGXB3"	2	0,742643354578022	1,8528564759724
"PRR29"	2	0,729149665894654	1,43893135701154
"SLC41A1"	2	0,717522899392699	1,76130499928187
"SLFN13"	2	0,695295592850152	1,76676915679591
"UCKL1"	2	0,735487594777674	1,7634156624246
"CSNK1E"	2	0,718785087760339	1,76487407801325
"TGFBR3"	2	0,676412742641279	1,78702289660876
"KLF12"	2	0,701949800703747	1,78390505694355
"STK39"	2	0,700015333649933	1,83440377699072
"DNMT1"	2	0,709554089886519	1,87088573137209
"PORCN"	2	0,737960221736752	1,67156804355185
"PPP3CC"	2	0,729889886229099	1,75561078026403
"C5orf42"	2	0,715012411111065	1,90640332368233
"ATXN2L"	2	0,735938541002628	1,75168085732459
"TESK1"	2	0,718122441821376	1,59317054457238
"CHST12"	2	0,704093513954606	1,56777679471288
"LIG1"	2	0,695950212908294	1,70909456647341
"ANKRD36B"	2	0,446197205676322	1,87098955387518
"TAF3"	2	0,733867587800792	1,84853828477877
"SRRT"	2	0,71407185346634	1,56027079224561
"TSEN54"	2	0,730616385255404	1,50038014919578
"HBB"	4	0,581917318642896	5,63645093027544
"HBA1"	4	0,548729466606644	5,86683947091928
"TNFSF10"	7	0,815641921582109	3,56460651713926
"RFWD2"	7	0,809561183040513	3,5470244917925
"IL10RB"	7	0,818362209022198	3,66960515176572
"TGFBR2"	7	0,801358309458261	3,43847919127224
"SAP30L"	7	0,795957001224409	3,57792621102948
"GIT2"	7	0,797359696432389	3,49379177399902
"KCTD21"	7	0,786249442636978	3,77119792330855
"CUL3"	7	0,800599564247961	3,53088122580254
"DUSP22"	7	0,789657298023857	3,60378110071184
"P2RY13"	7	0,806761546653501	3,63224083851566
"RNF34"	7	0,79542464307564	3,54700132252423
"RASSF2"	7	0,795474569359008	3,56759838732499
"PTPRJ"	7	0,783643934508324	3,4967026972104
"NPEPPS"	7	0,791107564875605	3,46697025632398
"TLR5"	7	0,779924190587682	3,69221683092798
"ARL11"	7	0,793575455873647	3,70662455774395
"GSK3B"	7	0,782413869946591	3,52494593994108
"RTN3"	7	0,795894120344008	3,66292193011075
"GRB2"	7	0,78001365689149	3,64531413009009
"PSEN1"	7	0,792179971326856	3,52614919804616
"RNASEL"	7	0,768164134043874	3,50392549319211
"HEBP2"	7	0,77535284881946	3,65455992813161
"MYD88"	7	0,782319981460273	3,61897980400222
"USP3"	7	0,775329900019603	3,43388984692987
"NMI"	7	0,780926371302498	3,77325192117892
"IGSF6"	7	0,7748868714737	3,66015248755374
"ASB8"	7	0,790416983726007	3,49151781489617
"RER1"	7	0,766900943060198	3,66615521369014
"H3F3A"	7	0,786345493177448	3,84270314397001
"FBXL5"	7	0,787243650341884	3,41110854421718
"NRBF2"	7	0,800375183528689	3,60116532104622
"PANK2"	7	0,764217070260759	3,52504844562329
"C1RL"	7	0,777117669367201	3,58557933077772
"STAM2"	7	0,767277430974082	3,39726610227719
"FCGR2A"	7	0,788064666352876	3,57119866757587
"TM9SF2"	7	0,775987095342669	3,49148185845778
"GLT1D1"	7	0,773745753288288	3,72105288807038
"KCTD2"	7	0,765635873379379	3,70818189469007
"TMBIM4"	7	0,785770163805481	3,64553920947169
"MANSC1"	7	0,78089508418325	3,63463752061838
"GMPR2"	7	0,776529595748612	3,74686221219462
"RAB3D"	7	0,769397628654572	3,57966091571468
"HTATIP2"	7	0,776011323220364	3,78977176173505
"SNX11"	7	0,75496800852067	3,79954916334137
"NMNAT1"	7	0,747640392398592	3,49894886205344
"CANT1"	7	0,758490350851078	3,61090880974038
"LRRC4"	7	0,771725349994311	3,55405357574174
"ZNF106"	7	0,755309245395021	3,37971098207501
"SIRPA"	7	0,76805464559995	3,46325313464121
"CHMP3"	7	0,786355483839703	3,53968531667803
"MCMBP"	8	0,806331212691477	3,39640799208121
"PIK3C3"	8	0,786318082750948	3,21304319449391
"PPP1R21"	8	0,777084235691256	3,36804926930155
"USP8"	8	0,774685861242948	3,08576872543818
"GPR107"	8	0,747005528672241	3,3840118717272
"MOB1A"	8	0,769560438752106	3,35790789253627
"SCYL3"	8	0,754857656897922	3,33313336980781
"PRKCB"	8	0,75383115734836	3,46852659529576
"INTS8"	8	0,765933065580045	3,40380767450042
"SBNO1"	8	0,751605700483753	3,24646935223738
"EPC1"	8	0,766180278337482	3,18171766924148
"KPNB1"	8	0,759012868772564	3,57831213942736
"C6orf89"	8	0,745920901900726	3,38428340412109
"PAFAH1B2"	8	0,765322006943421	3,26723710790992
"ZDHHC7"	8	0,747073579308772	3,40957441195774
"BECN1"	8	0,76285875769701	3,26968129026664
"BCL10"	8	0,767258189492159	3,36566231273551
"PPM1D"	8	0,755212836151266	3,44876550087114
"GLYR1"	8	0,756295310203414	3,00802667385505
"TMBIM6"	8	0,747711051972086	3,53030307921905
"RALGAPB"	8	0,766468374255591	2,78093100822988
"SPOP"	8	0,755322219076012	3,28696124080819
"RBBP5"	8	0,750678561934712	3,26889631176076
"APPBP2"	8	0,760857316047579	3,07055007516135
"GOSR1"	8	0,739828166577229	3,23833341799319
"MAPK1"	8	0,759273142067525	3,36087381388951
"PRR14L"	8	0,746699502623459	3,1972162749104
"ADNP"	8	0,734970565834115	2,91495909520532
"PPP6C"	8	0,739403854444427	3,41198484603837
"MORF4L1"	8	0,749661935472215	3,4494201619127
